Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:12:10.026,114362.3,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.3,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.3,0.002,BTCUSDT
2025-09-30 00:12:10.026,114362.3,0.002,BTCUSDT
2025-09-30 00:12:10.026,114362.3,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.3,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.3,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.2,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.2,0.001,BTCUSDT
2025-09-30 00:12:10.026,114362.2,0.002,BTCUSDT
2025-09-30 00:12:10.026,114362.2,0.03,BTCUSDT
2025-09-30 00:12:10.026,114362.2,0.021,BTCUSDT
2025-09-30 00:12:10.030,114362.2,0.009,BTCUSDT
2025-09-30 00:12:10.030,114362.2,1.088,BTCUSDT
2025-09-30 00:12:10.030,114362.2,0.08,BTCUSDT
2025-09-30 00:12:10.030,114362.2,0.256,BTCUSDT
2025-09-30 00:12:10.030,114362.2,0.005,BTCUSDT
2025-09-30 00:12:10.030,114362.2,0.04,BTCUSDT
2025-09-30 00:12:10.030,114362.1,0.002,BTCUSDT
2025-09-30 00:12:10.030,114362.1,1.001,BTCUSDT
2025-09-30 00:12:10.044,114361.7,0.002,BTCUSDT
2025-09-30 00:12:10.044,114361.7,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.7,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.7,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.7,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.7,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.5,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.2,0.001,BTCUSDT
2025-09-30 00:12:10.044,114361.1,0.002,BTCUSDT
2025-09-30 00:12:10.044,114361.1,0.002,BTCUSDT
2025-09-30 00:12:10.044,114360.8,0.004,BTCUSDT
2025-09-30 00:12:10.044,114360.5,0.002,BTCUSDT
2025-09-30 00:12:10.044,114360.5,0.002,BTCUSDT
2025-09-30 00:12:10.044,114360.4,0.001,BTCUSDT
2025-09-30 00:12:10.044,114360.2,0.001,BTCUSDT
2025-09-30 00:12:10.381,114360.0,0.001,BTCUSDT
2025-09-30 00:12:10.552,114360.1,0.005,BTCUSDT
2025-09-30 00:12:10.710,114360.0,0.001,BTCUSDT
2025-09-30 00:12:10.759,114360.0,0.015,BTCUSDT
2025-09-30 00:12:10.907,114360.1,0.002,BTCUSDT
2025-09-30 00:12:10.986,114360.0,0.087,BTCUSDT
2025-09-30 00:12:11.217,114360.1,0.001,BTCUSDT
2025-09-30 00:12:11.379,114360.0,0.002,BTCUSDT
2025-09-30 00:12:11.670,114360.1,0.02,BTCUSDT
